Id,SalePrice
2658,161841.35382114473
2718,186051.91980767087
2414,203678.7763026541
1989,95780.64653983516
625,186650.43758567542
333,77937.53201236227
1327,86707.10672779758
858,128321.37305885993
95,190467.27598440307
1568,186317.47476772207
2482,158984.40735107198
1364,120390.4940135059
2584,164126.99451054013
818,288446.4248619888
2673,161096.14915074213
2089,110796.71890818322
1297,173574.7420942763
790,121018.62419739217
2616,225959.06744016992
720,205102.31693928753
222,129788.04348535909
557,130189.27208882052
1148,196771.67505776405
2766,171315.80157113553
534,190804.432056535
1452,107869.87516444808
630,105629.70396262775
2648,108141.40580687122
125,162854.09648267017
1904,23829.44925234365
1670,88774.05254984736
756,89748.41344689585
717,235656.82917308976
1032,161968.50246537544
852,217933.30853266758
1731,183560.90744148043
2639,115089.22905398007
2071,57134.387961480345
1267,89963.84814198574
1851,201401.29192752508
567,149453.75824227603
2439,199621.47326860754
1898,146697.395899221
647,166715.02109830754
2256,237464.52960529848
979,79928.80650221907
1444,227102.78484961356
2485,129714.51193659907
157,107663.65042954498
88,128859.01146510566
2003,108862.22234771105
186,198924.26781491775
1425,253522.82565603964
2695,111069.14868669574
738,106081.6296707358
395,152460.6556724062
1353,185365.91273189487
1878,149438.4682724557
390,189420.85861194963
1456,236224.74094819173
1103,341889.5141578217
1387,143676.28589928185
2070,150370.8758399594
1199,189035.69862320565
2479,173514.4974298597
501,301553.8088210034
2362,75233.86726041527
1718,202583.63741830943
2188,36573.97242885828
1483,151376.10401370534
2557,59603.433011816596
437,335265.8480586952
2224,216383.41803266213
1628,166849.79462492393
397,122072.68074283042
587,211165.83816809306
971,148073.68482138374
2611,167356.81035861053
1887,69094.74255608622
2399,344994.66195611295
2148,210499.21731418493
304,126668.26220680546
1997,114282.73110987981
2817,101010.49692946402
1431,201621.48102655896
427,307674.3700884578
263,119179.73052484551
598,191571.42553844926
2895,262239.0849296863
687,161185.30767817402
1822,117459.33221113091
2191,87177.69332509744
179,122056.7628936418
1009,218733.96426525654
