Id,SalePrice
2658,-166721.26610822184
2718,163997.20531696873
2414,183617.10536878603
1989,130728.08426799672
625,171000.79318119632
333,91948.88882490294
1327,119625.92440684186
858,157923.33277508663
95,211866.78997324454
1568,172709.52435591118
2482,144628.25751271145
1364,124540.49098242121
2584,150682.80358342873
818,270389.9372736369
2673,314488.56663323985
2089,109772.52547025727
1297,1263198.7191178729
790,128853.24069824116
2616,193390.18206221657
720,209628.5213866313
222,141778.65371826338
557,121104.47242680984
1148,173507.13092389004
2766,146408.8455526759
534,156989.513518468
1452,121452.13056612061
630,146400.93898317264
2648,116997.81333638029
125,158543.94717151718
1904,160829.96233373927
1670,126415.43696381943
756,99356.31896640407
717,48557.567078926135
1032,176678.46610605018
852,204021.0375610222
1731,169659.74130031513
2639,322901.8813200076
2071,92796.42756546335
1267,98362.87902271794
1851,214623.33248558687
567,113456.02566222148
2439,207021.7301752125
1898,155547.78847994702
647,155420.8777073105
2256,258759.82017587172
979,80894.0385142793
1444,222042.21585129993
2485,28587.531624958385
157,123951.44491121965
88,125544.61394414352
2003,110734.93179800408
186,193472.21271692263
1425,261511.4710699399
2695,131759.68883331912
738,81008.19702792214
395,148151.2362496038
1353,160086.8045256217
1878,148855.9636642714
390,169050.08160174685
1456,237436.89475616114
1103,335923.5217583184
1387,206307.19410567032
2070,117447.50042431848
1199,166294.52513032453
2479,185495.61066784756
501,259092.3150604074
2362,121507.84255527006
1718,215427.29753458546
2188,57706.643203072716
1483,147682.7069424321
2557,85704.79785189824
437,316312.5695640077
2224,189399.07984463917
1628,155691.03184299218
397,138194.66399452882
587,208383.5095293303
971,391650.32158447104
2611,145703.40014938312
1887,98270.76047480898
2399,361329.6592755248
2148,194714.1949477871
304,67866.00653228955
1997,123298.23636753159
2817,121725.24373681145
1431,189099.76983152376
427,390904.36572694825
263,124419.42950452911
598,186194.54611888574
2895,150888.99858606653
687,116080.85454508709
1822,140799.2889903863
2191,84236.44505661028
179,213431.2562191789
1009,206976.58229558961
2010,267799.0615025838
1991,157977.9224945386
1411,158155.5363432099
1721,367752.70780315297
1144,197212.6575753023
593,215709.46175774233
575,146135.6753895362
1249,154951.5442256336
1604,134726.34362972574
1064,511401.8233918329
1923,158781.90052565234
1988,79544.89312128024
2325,162367.94756542193
114,209630.97012175666
2700,150981.9427431752
217,-222777.48321555508
343,185431.17345774965
386,243383.02194651263
2005,115792.85829685675
2908,129296.61953043984
1814,235350.6539648478
2446,589200.3137447988
208,79617.39579893695
1679,84041.35544566112
822,363861.24804905104
6,177482.1945155193
1781,415852.4864812498
2397,304742.05324062007
2340,350462.685810097
1618,172739.9256937881
2843,329977.64135574596
1061,368215.8565150951
2786,127241.32216592925
1935,138596.7209956278
1341,119170.07078426378
521,281358.53026212053
2136,157642.70130749838
996,201074.28950801538
227,153396.02357050078
135,163262.038688228
1167,188482.10039980756
294,277683.68222758966
1776,186223.3536105384
540,144503.97523468034
1717,97958.89249675022
2303,127535.5956605603
116,196917.49063540297
127,126738.77674635546
1371,126417.05161792831
1014,177677.97336800443
1507,119168.34694366949
702,222242.72670552926
750,167612.2781630312
261,152842.21149132447
1559,20210.836601287592
577,316112.3434200068
2812,192216.09087253409
2080,173510.04023002135
1368,118009.36707770126
2376,140401.86292067962
659,103530.43127708929
1235,131138.2018621345
332,87320.65666708397
1917,146923.67776709097
2094,230957.3636076753
1460,290696.07522022026
1471,209382.0910361563
1509,124111.74700692343
1922,136300.5255418201
433,528581.9646679466
460,248631.05822228687
1116,223606.30196449952
1137,161405.16744236695
53,148836.33297716873
2354,285586.45495670335
1475,206460.44932340132
1761,692807.8106387635
842,149103.11497205542
2739,107926.21499725478
2509,147769.36305730836
1007,199899.40651879506
2610,174634.46080348687
1952,93424.54113648133
2719,164934.37376425462
2921,92132.83150262432
1966,136547.2831643005
292,87161.63850515382
1204,201490.13171330886
1829,455697.9248119523
2419,171922.05204834836
391,148971.58371727215
798,121211.09349810379
481,191945.23044327693
193,89626.09308466362
555,126797.64850659715
899,51734.91281094449
2357,185472.04455509828
328,104967.03631941276
1356,143571.73033233033
1154,100286.96640832024
1730,173793.9119473477
2249,137543.62535042362
1119,279372.077471294
2856,114341.33859495865
1394,144685.65028914856
2587,120550.60398113029
61,328224.2963384767
2661,111325.76110807853
2711,129242.67770936387
1147,183477.017206945
757,127828.9046271299
2623,110114.87777042435
2378,139547.62298967736
1413,127674.55793800997
1722,205116.49073172407
1112,215562.12286851602
1623,205112.49049519794
